REFUOID	U_WGS84X	U_WGS84Y	JAHR	MONAT	WOCHENTAG	U_GEMNR2	U_GEMNAME	U_GEBIET	U_GEBIET_T	U_LICHT	U_LICHT_T	U_UNF_TYP	U_UNF_TYP_T	UHRZEIT	BETEILIGUNG
6097691889	16,31971836	48,185002	2013	1	Mon	91201	Wien	1	Ortsgebiet	2	Tageslicht	161	Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug	9 bis 12 Uhr	Pkw, Pkw
6097707592	16,3297686	48,2214829	2013	1	Sat	91701	Wien	1	Ortsgebiet			141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	18 bis 24 Uhr	Pkw, Pkw, Pkw
6097688978	16,44090593	48,21819287	2013	1	Thu	92201	Wien	1	Ortsgebiet			291	Sonstige Unf‰lle im Begegnungsverkehr	0 bis 6 Uhr	Pkw, Sonstige
6097687435	16,31960303	48,18489649	2013	1	Sat	91301	Wien	1	Ortsgebiet			511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	0 bis 6 Uhr	Lkw, Pkw
6097687126	16,32522225	48,21062912	2013	1	Mon	91601	Wien	1	Ortsgebiet			823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	0 bis 6 Uhr	Fussgaenger:in, Pkw
6097699367	16,36094666	48,21617126	2013	1	Tue	90901	Wien	1	Ortsgebiet	2	Tageslicht	141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	9 bis 12 Uhr	Pkw, Pkw
6097705278	16,39410943	48,2343336	2013	1	Fri	90201	Wien	1	Ortsgebiet			161	Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug	18 bis 24 Uhr	Lkw, Pkw
6097707565	16,35998905	48,21644859	2013	1	Tue	90901	Wien	1	Ortsgebiet	2	Tageslicht	052	Sturz vom oder im Fahrzeug - Sturz (Verletzung) im Fahrzeug	9 bis 12 Uhr	Schienenfahrzeug
6097724161	16,33102655	48,21085433	2013	1	Thu	91601	Wien	1	Ortsgebiet	2	Tageslicht	823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	9 bis 12 Uhr	Fussgaenger:in, Pkw
6097686774	16,34244472	48,21716347	2013	1	Wed	90901	Wien	1	Ortsgebiet			161	Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug	18 bis 24 Uhr	Pkw, Pkw
6097715469	16,37554586	48,17551596	2013	1	Thu	91001	Wien	1	Ortsgebiet	2	Tageslicht	824	beim Linksabbiegen - Fg.: gegen Ann‰herungsrichtung	6 bis 9 Uhr	Fussgaenger:in, Pkw
6097694079	16,29752948	48,18682116	2013	1	Wed	91301	Wien	1	Ortsgebiet	2	Tageslicht	131	Auffahren auf fahrendes Fahrzeug - auf der Geraden	15 bis 18 Uhr	Pkw, Pkw
6097724052	16,34361416	48,20752251	2013	1	Sat	90801	Wien	1	Ortsgebiet			823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	18 bis 24 Uhr	Fussgaenger:in, Pkw
6097720566	16,36352956	48,20386691	2013	1	Sun	90101	Wien	1	Ortsgebiet			161	Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug	0 bis 6 Uhr	Pkw, Pkw
6097688353	16,36430204	48,21477574	2013	1	Thu	90101	Wien	1	Ortsgebiet	2	Tageslicht	131	Auffahren auf fahrendes Fahrzeug - auf der Geraden	9 bis 12 Uhr	Lkw, Pkw
6097687637	16,40953481	48,19666756	2013	1	Tue	90301	Wien	1	Ortsgebiet			161	Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug	15 bis 18 Uhr	Pkw, Pkw
